Beach Name,Water Temperature,Turbidity,Transducer Depth,Measurement ID
Montrose Beach,20.3,1.18,0.891,MontroseBeach201308300800
Ohio Street Beach,14.4,1.23,1.386,OhioStreetBeach201605261300
Calumet Beach,23.2,3.63,1.201,CalumetBeach201309031600
Calumet Beach,16.2,1.26,1.514,CalumetBeach201405281200
Montrose Beach,14.4,3.36,1.388,MontroseBeach201405281200
Montrose Beach,14.5,2.72,1.395,MontroseBeach201405281300
Calumet Beach,16.3,1.28,1.524,CalumetBeach201405281300
Montrose Beach,14.8,2.97,1.386,MontroseBeach201405281400
Calumet Beach,16.5,1.32,1.537,CalumetBeach201405281400
Calumet Beach,16.8,1.31,1.568,CalumetBeach201405281500
Montrose Beach,14.5,4.3,1.377,MontroseBeach201405281500
Calumet Beach,17.1,1.37,1.52,CalumetBeach201405281600
Montrose Beach,14.4,4.87,1.366,MontroseBeach201405281600
Calumet Beach,17.2,1.48,1.525,CalumetBeach201405281700
Montrose Beach,14.1,5.06,1.382,MontroseBeach201405281700
Montrose Beach,14.2,5.76,1.415,MontroseBeach201405281800
Calumet Beach,17.1,1.8,1.501,CalumetBeach201405281800
Calumet Beach,17,1.82,1.487,CalumetBeach201405281900
Montrose Beach,14.2,6.32,1.386,MontroseBeach201405281900
Montrose Beach,14.4,6.89,1.401,MontroseBeach201405282000
Calumet Beach,17,1.83,1.488,CalumetBeach201405282000
Montrose Beach,14.5,7.11,1.374,MontroseBeach201405282100
Calumet Beach,16.8,1.9,1.494,CalumetBeach201405282100
Montrose Beach,14.5,6.88,1.413,MontroseBeach201405282200
Calumet Beach,16.7,1.83,1.467,CalumetBeach201405282200
Montrose Beach,14.3,7.32,1.406,MontroseBeach201405282300
Calumet Beach,16.5,1.69,1.548,CalumetBeach201405282300
Calumet Beach,16.3,1.62,1.519,CalumetBeach201405290100
Montrose Beach,14.2,7.18,1.46,MontroseBeach201405290100
Montrose Beach,14.2,6.35,1.45,MontroseBeach201405290200
Calumet Beach,16.2,1.57,1.535,CalumetBeach201405290200
Calumet Beach,16.1,1.8,1.557,CalumetBeach201405290300
Montrose Beach,14.1,6.78,1.468,MontroseBeach201405290300
Calumet Beach,16.1,1.82,1.507,CalumetBeach201405290400
Montrose Beach,14.1,6.27,1.456,MontroseBeach201405290400
Montrose Beach,14,5.63,1.421,MontroseBeach201405290500
Calumet Beach,15.9,1.73,1.513,CalumetBeach201405290500
Calumet Beach,15.9,1.73,1.508,CalumetBeach201405290600
Montrose Beach,13.8,5.05,1.41,MontroseBeach201405290600
Montrose Beach,13.8,5.73,1.398,MontroseBeach201405290700
Calumet Beach,15.9,1.74,1.491,CalumetBeach201405290700
Montrose Beach,13.9,5.57,1.398,MontroseBeach201405290800
Calumet Beach,15.8,1.77,1.498,CalumetBeach201405290800
Calumet Beach,15.9,1.64,1.538,CalumetBeach201405290900
Montrose Beach,13.9,6.49,1.407,MontroseBeach201405290900
Montrose Beach,14.1,5.67,1.415,MontroseBeach201405291000
Calumet Beach,16,1.75,1.495,CalumetBeach201405291000
Calumet Beach,16.2,1.59,1.596,CalumetBeach201405291100
Montrose Beach,14.3,6.4,1.458,MontroseBeach201405291100
Calumet Beach,16.4,1.55,1.491,CalumetBeach201405291200
Montrose Beach,14.6,6.19,1.432,MontroseBeach201405291200
Montrose Beach,14.8,6.28,1.526,MontroseBeach201405291300
Calumet Beach,16.6,1.58,1.499,CalumetBeach201405291300
Calumet Beach,16.7,1.44,1.682,CalumetBeach201405291400
Montrose Beach,14.9,6.36,1.391,MontroseBeach201405291400
Montrose Beach,15.1,5.98,1.449,MontroseBeach201405291500
Calumet Beach,16.9,1.4,1.488,CalumetBeach201405291500
Calumet Beach,16.9,1.35,1.562,CalumetBeach201405291600
Montrose Beach,15.2,6.26,1.448,MontroseBeach201405291600
Montrose Beach,15.5,7.06,1.406,MontroseBeach201405291700
Calumet Beach,16.8,1.45,1.546,CalumetBeach201405291700
Calumet Beach,16.9,1.35,1.47,CalumetBeach201405291800
Montrose Beach,15.3,6.51,1.401,MontroseBeach201405291800
Montrose Beach,15.5,6.71,1.4,MontroseBeach201405291900
Calumet Beach,16.8,1.39,1.51,CalumetBeach201405291900
Montrose Beach,15.3,6.17,1.406,MontroseBeach201405292000
Calumet Beach,16.7,1.46,1.413,CalumetBeach201405292000
Montrose Beach,15.4,5.9,1.416,MontroseBeach201405292100
Calumet Beach,16.8,1.4,1.482,CalumetBeach201405292100
Montrose Beach,15.2,6.03,1.4,MontroseBeach201405292200
Calumet Beach,16.9,1.51,1.481,CalumetBeach201405292200
Calumet Beach,16.8,1.55,1.511,CalumetBeach201405292300
Montrose Beach,15.2,5.71,1.397,MontroseBeach201405292300
Calumet Beach,16.6,1.79,1.539,CalumetBeach201405302400
Montrose Beach,15.2,6.09,1.438,MontroseBeach201405302400
Calumet Beach,16.4,1.74,1.437,CalumetBeach201405300100
Montrose Beach,15,5.98,1.379,MontroseBeach201405300100
Montrose Beach,15,5.92,1.504,MontroseBeach201405300200
Calumet Beach,16.4,1.53,1.579,CalumetBeach201405300200
Calumet Beach,16.3,1.72,1.564,CalumetBeach201405300300
Montrose Beach,14.9,6.51,1.422,MontroseBeach201405300300
Montrose Beach,14.8,5.35,1.441,MontroseBeach201405300400
Calumet Beach,16.2,1.77,1.513,CalumetBeach201405300400
Calumet Beach,16.2,1.6,1.465,CalumetBeach201405300500
Montrose Beach,14.8,5.66,1.441,MontroseBeach201405300500
Montrose Beach,14.7,5.53,1.401,MontroseBeach201405300600
Calumet Beach,16.1,1.53,1.5,CalumetBeach201405300600
Calumet Beach,16.1,1.71,1.559,CalumetBeach201405300700
Montrose Beach,14.7,5.53,1.455,MontroseBeach201405300700
Calumet Beach,16.2,1.68,1.496,CalumetBeach201405300800
Montrose Beach,14.8,5.58,1.4,MontroseBeach201405300800
Montrose Beach,15,5.36,1.399,MontroseBeach201405300900
Calumet Beach,16.3,1.59,1.453,CalumetBeach201405300900
Montrose Beach,15.2,5.03,1.429,MontroseBeach201405301000
Calumet Beach,16.6,1.52,1.52,CalumetBeach201405301000
Calumet Beach,16.8,1.45,1.492,CalumetBeach201405301100
Montrose Beach,15.5,5.28,1.443,MontroseBeach201405301100
Montrose Beach,15.8,5.04,1.454,MontroseBeach201405301200
Calumet Beach,17.2,1.46,1.496,CalumetBeach201405301200
Calumet Beach,17.4,1.52,1.525,CalumetBeach201405301300
Montrose Beach,16.1,4.71,1.472,MontroseBeach201405301300
Montrose Beach,16.4,4.43,1.429,MontroseBeach201405301400
Calumet Beach,17.5,1.58,1.523,CalumetBeach201405301400
Calumet Beach,17.8,1.52,1.512,CalumetBeach201405301500
Montrose Beach,16.7,4.62,1.437,MontroseBeach201405301500
Montrose Beach,16.8,4.41,1.403,MontroseBeach201405301600
Calumet Beach,17.7,1.48,1.568,CalumetBeach201405301600
Montrose Beach,16.8,4.31,1.438,MontroseBeach201405301700
Calumet Beach,17.6,1.42,1.518,CalumetBeach201405301700
Calumet Beach,17.7,1.43,1.407,CalumetBeach201405301800
Montrose Beach,16.7,4.16,1.44,MontroseBeach201405301800
Montrose Beach,16.8,4.4,1.385,MontroseBeach201405301900
Calumet Beach,17.7,1.39,1.474,CalumetBeach201405301900
Montrose Beach,16.7,4.05,1.392,MontroseBeach201405302000
Calumet Beach,17.6,1.44,1.508,CalumetBeach201405302000
Montrose Beach,16.7,4.17,1.362,MontroseBeach201405302100
Calumet Beach,17.8,1.41,1.443,CalumetBeach201405302100
Calumet Beach,17.8,1.45,1.441,CalumetBeach201405302200
Montrose Beach,16.5,3.83,1.412,MontroseBeach201405302200
Calumet Beach,17.6,1.44,1.496,CalumetBeach201405302300
Montrose Beach,16.5,3.94,1.393,MontroseBeach201405302300
Montrose Beach,16.5,3.63,1.428,MontroseBeach201405312400
Calumet Beach,17.2,1.58,1.506,CalumetBeach201405312400
Calumet Beach,17.1,1.43,1.525,CalumetBeach201405310100
Montrose Beach,16.4,3.68,1.434,MontroseBeach201405310100
Montrose Beach,16.3,3.56,1.473,MontroseBeach201405310200
Calumet Beach,17,1.44,1.515,CalumetBeach201405310200
Montrose Beach,16.2,3.38,1.444,MontroseBeach201405310300
Calumet Beach,16.8,1.5,1.581,CalumetBeach201405310300
Montrose Beach,16,3.08,1.438,MontroseBeach201405310400
Calumet Beach,16.8,1.71,1.517,CalumetBeach201405310400
Montrose Beach,16,3,1.449,MontroseBeach201405310500
Calumet Beach,16.7,1.58,1.526,CalumetBeach201405310500
Montrose Beach,15.9,3.11,1.411,MontroseBeach201405310600
Calumet Beach,17,2.2,1.515,CalumetBeach201405310600
Montrose Beach,16,3.16,1.448,MontroseBeach201405310700
Calumet Beach,16.8,1.68,1.464,CalumetBeach201405310700
Montrose Beach,16,3.18,1.401,MontroseBeach201405310800
Calumet Beach,17,1.7,1.516,CalumetBeach201405310800
Montrose Beach,16.2,3.07,1.421,MontroseBeach201405310900
Calumet Beach,17.1,1.62,1.498,CalumetBeach201405310900
Montrose Beach,16.5,2.88,1.412,MontroseBeach201405311000
Calumet Beach,17.4,1.66,1.503,CalumetBeach201405311000
Montrose Beach,16.8,2.91,1.442,MontroseBeach201405311100
Calumet Beach,17.8,1.76,1.518,CalumetBeach201405311100
Montrose Beach,17.3,2.49,1.395,MontroseBeach201405311200
Calumet Beach,18,1.31,1.492,CalumetBeach201405311200
Montrose Beach,17.6,2.85,1.431,MontroseBeach201405311300
Calumet Beach,18.4,1.31,1.539,CalumetBeach201405311300
Calumet Beach,19.2,1.19,1.531,CalumetBeach201405311400
Montrose Beach,19.2,3.57,1.395,MontroseBeach201405311400
Calumet Beach,19.3,1.25,1.514,CalumetBeach201405311500
Montrose Beach,19.7,3.68,1.458,MontroseBeach201405311500
Montrose Beach,20.1,3.11,1.454,MontroseBeach201405311600
Calumet Beach,19.8,1.16,1.533,CalumetBeach201405311600
Montrose Beach,19.4,2.54,1.435,MontroseBeach201405311700
Calumet Beach,20.3,1.27,1.509,CalumetBeach201405311700
Calumet Beach,21,1.65,1.515,CalumetBeach201405311800
Montrose Beach,18.4,2.64,1.427,MontroseBeach201405311800
Calumet Beach,20.6,1.43,1.483,CalumetBeach201405311900
Montrose Beach,19.5,3.82,1.385,MontroseBeach201405311900
Calumet Beach,20.4,1.38,1.426,CalumetBeach201405312000
Montrose Beach,18.1,2.66,1.409,MontroseBeach201405312000
Montrose Beach,17.7,2.49,1.38,MontroseBeach201405312100
Calumet Beach,20.3,1.77,1.468,CalumetBeach201405312100
Calumet Beach,19.6,1.43,1.477,CalumetBeach201405312200
Montrose Beach,17,2.18,1.373,MontroseBeach201405312200
Calumet Beach,19.2,1.38,1.501,CalumetBeach201405312300
Montrose Beach,16.7,2.09,1.392,MontroseBeach201405312300
Calumet Beach,19.3,1.56,1.474,CalumetBeach201406012400
Montrose Beach,16.3,2.04,1.394,MontroseBeach201406012400
Calumet Beach,19.1,1.43,1.469,CalumetBeach201406010100
Montrose Beach,16.2,1.95,1.412,MontroseBeach201406010100
