Beach Name,Wave Height,Wave Period,Battery Life,Measurement ID
Montrose Beach,0.08,3,9.4,MontroseBeach201308300800
Ohio Street Beach,0.111,4,12.4,OhioStreetBeach201605261300
Calumet Beach,0.174,6,9.4,CalumetBeach201309031600
Calumet Beach,0.147,4,11.7,CalumetBeach201405281200
Montrose Beach,0.298,4,11.9,MontroseBeach201405281200
Montrose Beach,0.306,3,11.9,MontroseBeach201405281300
Calumet Beach,0.162,4,11.7,CalumetBeach201405281300
Montrose Beach,0.328,3,11.9,MontroseBeach201405281400
Calumet Beach,0.185,4,11.7,CalumetBeach201405281400
Calumet Beach,0.196,4,11.7,CalumetBeach201405281500
Montrose Beach,0.328,3,11.9,MontroseBeach201405281500
Calumet Beach,0.194,4,11.7,CalumetBeach201405281600
Montrose Beach,0.341,3,11.9,MontroseBeach201405281600
Calumet Beach,0.203,4,11.7,CalumetBeach201405281700
Montrose Beach,0.34,4,11.9,MontroseBeach201405281700
Montrose Beach,0.356,3,11.9,MontroseBeach201405281800
Calumet Beach,0.188,4,11.7,CalumetBeach201405281800
Calumet Beach,0.194,4,11.7,CalumetBeach201405281900
Montrose Beach,0.346,3,11.9,MontroseBeach201405281900
Montrose Beach,0.38,4,11.9,MontroseBeach201405282000
Calumet Beach,0.196,4,11.7,CalumetBeach201405282000
Montrose Beach,0.361,5,11.9,MontroseBeach201405282100
Calumet Beach,0.181,4,11.7,CalumetBeach201405282100
Montrose Beach,0.345,4,11.9,MontroseBeach201405282200
Calumet Beach,0.18,4,11.7,CalumetBeach201405282200
Montrose Beach,0.331,4,11.9,MontroseBeach201405282300
Calumet Beach,0.177,4,11.7,CalumetBeach201405282300
Calumet Beach,0.159,4,11.7,CalumetBeach201405290100
Montrose Beach,0.305,4,11.9,MontroseBeach201405290100
Montrose Beach,0.321,3,11.9,MontroseBeach201405290200
Calumet Beach,0.154,4,11.7,CalumetBeach201405290200
Calumet Beach,0.163,4,11.7,CalumetBeach201405290300
Montrose Beach,0.285,4,11.8,MontroseBeach201405290300
Calumet Beach,0.156,4,11.7,CalumetBeach201405290400
Montrose Beach,0.306,3,11.8,MontroseBeach201405290400
Montrose Beach,0.282,3,11.8,MontroseBeach201405290500
Calumet Beach,0.158,3,11.7,CalumetBeach201405290500
Calumet Beach,0.151,3,11.7,CalumetBeach201405290600
Montrose Beach,0.248,4,11.8,MontroseBeach201405290600
Montrose Beach,0.235,4,11.8,MontroseBeach201405290700
Calumet Beach,0.148,4,11.7,CalumetBeach201405290700
Montrose Beach,0.244,4,11.8,MontroseBeach201405290800
Calumet Beach,0.146,4,11.7,CalumetBeach201405290800
Calumet Beach,0.125,4,11.7,CalumetBeach201405290900
Montrose Beach,0.292,3,11.8,MontroseBeach201405290900
Montrose Beach,0.277,2,11.8,MontroseBeach201405291000
Calumet Beach,0.129,4,11.7,CalumetBeach201405291000
Calumet Beach,0.141,4,11.7,CalumetBeach201405291100
Montrose Beach,0.286,5,11.8,MontroseBeach201405291100
Calumet Beach,0.144,4,11.7,CalumetBeach201405291200
Montrose Beach,0.301,3,11.8,MontroseBeach201405291200
Montrose Beach,0.282,5,11.8,MontroseBeach201405291300
Calumet Beach,0.154,2,11.7,CalumetBeach201405291300
Calumet Beach,0.159,5,11.7,CalumetBeach201405291400
Montrose Beach,0.319,3,11.8,MontroseBeach201405291400
Montrose Beach,0.296,3,11.8,MontroseBeach201405291500
Calumet Beach,0.164,4,11.7,CalumetBeach201405291500
Calumet Beach,0.17,4,11.7,CalumetBeach201405291600
Montrose Beach,0.313,3,11.8,MontroseBeach201405291600
Montrose Beach,0.288,3,11.8,MontroseBeach201405291700
Calumet Beach,0.168,3,11.7,CalumetBeach201405291700
Calumet Beach,0.179,3,11.7,CalumetBeach201405291800
Montrose Beach,0.298,3,11.8,MontroseBeach201405291800
Montrose Beach,0.287,3,11.8,MontroseBeach201405291900
Calumet Beach,0.175,3,11.7,CalumetBeach201405291900
Montrose Beach,0.298,3,11.8,MontroseBeach201405292000
Calumet Beach,0.182,4,11.7,CalumetBeach201405292000
Montrose Beach,0.286,3,11.8,MontroseBeach201405292100
Calumet Beach,0.189,3,11.7,CalumetBeach201405292100
Montrose Beach,0.266,3,11.8,MontroseBeach201405292200
Calumet Beach,0.177,4,11.7,CalumetBeach201405292200
